,index,iteration,params,duration_in_second,num_labels,num_labels_std,silhouette_score,davies_bouldin_score,dunn_fast,silhouette_score_std,davies_bouldin_score_std,dunn_fast_std,min_samples,min_cluster_size,cluster_selection_epsilon,cluster_selection_method,metric
45,0,0,"{'min_samples': 5, 'min_cluster_size': 2, 'cluster_selection_epsilon': 0.1, 'cluster_selection_method': 'eom', 'metric': 'manhattan'}",1.388024926185608,11.7,1.7349351572897473,0.47507182,0.9722804152131195,0.05684229364791351,0.0035004173,0.3327325733636372,0.10781950381693947,5,2,0.1,eom,manhattan
46,22,22,"{'min_samples': 5, 'min_cluster_size': 2, 'cluster_selection_epsilon': 0.6, 'cluster_selection_method': 'leaf', 'metric': 'mahalanobis'}",9.46109323501587,10.1,1.1357816691600546,0.42989078,0.6661717885763713,0.27212341762468284,0.1652424,0.30612504468463553,0.13564753771264135,5,2,0.6,leaf,mahalanobis
47,59,59,"{'min_samples': 5, 'min_cluster_size': 5, 'cluster_selection_epsilon': 0.6, 'cluster_selection_method': 'leaf', 'metric': 'euclidean'}",0.9777231216430664,10.8,0.6,0.41824713,0.6431847446795217,0.3298666689070038,0.18092321,0.30539666118473496,0.17846384724633838,5,5,0.6,leaf,euclidean
48,69,69,"{'min_samples': 5, 'min_cluster_size': 5, 'cluster_selection_epsilon': 1.0, 'cluster_selection_method': 'leaf', 'metric': 'manhattan'}",1.1020337343215942,11.0,1.1832159566199232,0.22649813,1.0603004528953675,0.189652271307471,0.3088593,0.5093118523597351,0.17562799005124038,5,5,1.0,leaf,manhattan
49,33,33,"{'min_samples': 5, 'min_cluster_size': 2, 'cluster_selection_epsilon': 1.0, 'cluster_selection_method': 'leaf', 'metric': 'manhattan'}",1.1106435060501099,11.0,1.2649110640673518,0.09339323,1.2342787401008506,0.14294547636427288,0.32202923,0.5125279012166108,0.19139003924591913,5,2,1.0,leaf,manhattan
50,63,63,"{'min_samples': 5, 'min_cluster_size': 5, 'cluster_selection_epsilon': 0.8, 'cluster_selection_method': 'leaf', 'metric': 'manhattan'}",1.1134645700454713,11.6,2.1071307505705477,0.015530549,1.8783415161249395,0.08182471768635605,0.30713868,0.8100853682127629,0.11729433742784971,5,5,0.8,leaf,manhattan
51,53,53,"{'min_samples': 5, 'min_cluster_size': 5, 'cluster_selection_epsilon': 0.4, 'cluster_selection_method': 'leaf', 'metric': 'euclidean'}",0.979979681968689,12.5,0.9219544457292888,-0.23314603,2.6723359135222298,0.00457493924125274,0.05799663,0.5548916715972656,0.0021348739471253536,5,5,0.4,leaf,euclidean
52,52,52,"{'min_samples': 5, 'min_cluster_size': 5, 'cluster_selection_epsilon': 0.4, 'cluster_selection_method': 'leaf', 'metric': 'mahalanobis'}",9.655780339241028,14.0,1.7888543819998317,-0.29354107,1.6861832900471572,0.005238297059625735,0.08039948,0.21534354167572042,0.0037324873960885153,5,5,0.4,leaf,mahalanobis
53,27,27,"{'min_samples': 5, 'min_cluster_size': 2, 'cluster_selection_epsilon': 0.8, 'cluster_selection_method': 'leaf', 'metric': 'manhattan'}",1.0508861303329469,14.9,3.858756276314948,-0.33398938,2.746000786707969,0.006176843548575177,0.11042132,0.4849623713034315,0.003714017353308979,5,2,0.8,leaf,manhattan
54,17,17,"{'min_samples': 5, 'min_cluster_size': 2, 'cluster_selection_epsilon': 0.4, 'cluster_selection_method': 'leaf', 'metric': 'euclidean'}",1.0100988864898681,16.7,3.0675723300355933,-0.38930205,2.562678653480668,0.0031124184560270864,0.090023145,0.2931885202423239,0.001493042219628217,5,2,0.4,leaf,euclidean
